tweet_id,date,image_type,pages_shown,transcribed_text,chapters,stage_raw,confidence,notes,status,source_of_truth,verdict,reviewer_note,model_image_type,model_pages_shown,model_transcribed_text,confirmed_at
1529260655236091904,2022-05-25,page_log,,,,,high,blurred close-up of inked foliage; no page number visible,confirmed,human_corrected,fix,Ch 397 p. 6 artwork,unclear,,,2026-08-30T06:00:17.009316+00:00
1529663083605397504,2022-05-26,page_log,7,,,,high,,confirmed,human_confirmed,ok,,page_log,7,,2026-08-30T06:00:17.009316+00:00
1530022135413952512,2022-05-27,page_log,8,,,,high,,confirmed,human_confirmed,ok,Ch 397 p. 8 sketch,page_log,8,,2026-08-30T06:00:17.009316+00:00
1530401076385525761,2022-05-28,page_log,9,,,,high,,confirmed,human_confirmed,ok,Ch 397 p. 9 sketch,page_log,9,,2026-08-30T06:00:17.009316+00:00
1530748357731225600,2022-05-29,page_log,10,,,,high,,confirmed,human_confirmed,ok,Ch 397 p. 10 sketch,page_log,10,,2026-08-30T06:00:17.009316+00:00
1531112345321078784,2022-05-30,page_log,11,,,,high,,confirmed,human_confirmed,ok,Ch 397 p. 11 sketch,page_log,11,,2026-08-30T06:00:17.009316+00:00
1531471347540295680,2022-05-31,page_log,12,,,,high,,confirmed,human_confirmed,ok,Ch 397 p. 12 sketch,page_log,12,,2026-08-30T06:00:17.009316+00:00
1531834543920951296,2022-06-01,page_log,13,,,,high,,confirmed,human_confirmed,ok,Ch 397 p. 13 sketch,page_log,13,,2026-08-30T06:00:17.009316+00:00
1532195450983313408,2022-06-02,page_log,14,,,,high,,confirmed,human_confirmed,ok,Ch 397 p. 14 sketch,page_log,14,,2026-08-30T06:00:17.009316+00:00
1532558267385188352,2022-06-03,page_log,15 16,,,,high,,confirmed,human_confirmed,ok,Ch 397 p. 15 16 sketch,page_log,15 16,,2026-08-30T06:00:17.009316+00:00
1532920523406995456,2022-06-04,page_log,17 18,,,,high,,confirmed,human_confirmed,ok,Ch 397 p. 17 18 sketch,page_log,17 18,,2026-08-30T06:00:17.009316+00:00
1533283644227260416,2022-06-05,page_log,19,,,,high,,confirmed,human_confirmed,ok,Ch 397 p. 19 sketch,page_log,19,,2026-08-30T06:00:17.009316+00:00
1534007690053099520,2022-06-07,page_log,2,,,,high,page count RESETS -> new chapter,confirmed,human_confirmed,ok,Ch 398 p. 2 sketch,page_log,2,,2026-08-30T06:00:17.009316+00:00
1534370156809310210,2022-06-08,page_log,3 4,,,,high,,confirmed,human_confirmed,ok,,page_log,3 4,,2026-08-30T06:00:17.009316+00:00
1534732400604745733,2022-06-09,page_log,5,,,,high,,confirmed,human_confirmed,ok,Ch 398 p. 5 sketch,page_log,5,,2026-08-30T06:00:17.009316+00:00
1535094793100857345,2022-06-10,page_log,6,,,,high,,confirmed,human_confirmed,ok,,page_log,6,,2026-08-30T06:00:17.009316+00:00
1535457193008320513,2022-06-11,page_log,7,,,,high,,confirmed,human_confirmed,ok,Ch 398 p. 7 sketch,page_log,7,,2026-08-30T06:00:17.009316+00:00
1535820071188082688,2022-06-12,page_log,8 9,,,,high,,confirmed,human_confirmed,ok,Ch 398 p. 9 sketch,page_log,8 9,,2026-08-30T06:00:17.009316+00:00
1536181741542526976,2022-06-13,page_log,10,,,,high,,confirmed,human_confirmed,ok,,page_log,10,,2026-08-30T06:00:17.009316+00:00
1536544533474791424,2022-06-14,page_log,11,,,,high,,confirmed,human_confirmed,ok,Ch 398 p. 11 sketch,page_log,11,,2026-08-30T06:00:17.009316+00:00
1536906649612750848,2022-06-15,page_log,12 13 14 15,,,,high,four sheets fanned out,confirmed,human_confirmed,ok,,page_log,12 13 14 15,,2026-08-30T06:00:17.009316+00:00
1537269290688122881,2022-06-16,page_log,16,,,,high,,confirmed,human_confirmed,ok,,page_log,16,,2026-08-30T06:00:17.009316+00:00
1537632258311323648,2022-06-17,page_log,17,,,,high,,confirmed,human_confirmed,ok,Ch 398 p. 17 sketch,page_log,17,,2026-08-30T06:00:17.009316+00:00
1537993636297658369,2022-06-18,page_log,18 19,,,,high,chapter ends at p19,confirmed,human_confirmed,ok,,page_log,18 19,,2026-08-30T06:00:17.009316+00:00
1538794911759077378,2022-06-20,page_log,3,,,,high,page count RESETS -> new chapter,confirmed,human_confirmed,ok,,page_log,3,,2026-08-30T06:00:17.009316+00:00
1539081629632630784,2022-06-21,page_log,4,,,,high,,confirmed,human_confirmed,ok,,page_log,4,,2026-08-30T06:00:17.009316+00:00
1539443851487694848,2022-06-22,page_log,5,,,,high,page number not visible in frame,confirmed,human_corrected,fix,"Page number is 5, visible but in a special font",page_log,,,2026-08-30T06:00:17.009316+00:00
1539806147745484800,2022-06-23,page_log,6,,,,high,,confirmed,human_confirmed,ok,,page_log,6,,2026-08-30T06:00:17.009316+00:00
1540177798618263552,2022-06-24,page_log,7,,,,high,,confirmed,human_confirmed,ok,,page_log,7,,2026-08-30T06:00:17.009316+00:00
1540530537512611841,2022-06-25,page_log,8,,,,high,,confirmed,human_confirmed,ok,,page_log,8,,2026-08-30T06:00:17.009316+00:00
