tweet_id,date,image_type,pages_shown,transcribed_text,chapters,stage_raw,annotator,method,confidence,annotated_at,status,notes,sheet
1529260655236091904,2022-05-25,unclear,,,,,claude,vision_model,low,2026-08-27T12:00:00Z,proposed,blurred close-up of inked foliage; no page number visible,sheet_001.jpg
1529663083605397504,2022-05-26,page_log,7,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_001.jpg
1530022135413952512,2022-05-27,page_log,8,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_001.jpg
1530401076385525761,2022-05-28,page_log,9,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_001.jpg
1530748357731225600,2022-05-29,page_log,10,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_001.jpg
1531112345321078784,2022-05-30,page_log,11,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_001.jpg
1531471347540295680,2022-05-31,page_log,12,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_002.jpg
1531834543920951296,2022-06-01,page_log,13,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_002.jpg
1532195450983313408,2022-06-02,page_log,14,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_002.jpg
1532558267385188352,2022-06-03,page_log,15 16,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_002.jpg
1532920523406995456,2022-06-04,page_log,17 18,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_002.jpg
1533283644227260416,2022-06-05,page_log,19,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_002.jpg
1534007690053099520,2022-06-07,page_log,2,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,page count RESETS -> new chapter,sheet_003.jpg
1534370156809310210,2022-06-08,page_log,3 4,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_003.jpg
1534732400604745733,2022-06-09,page_log,5,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_003.jpg
1535094793100857345,2022-06-10,page_log,6,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_003.jpg
1535457193008320513,2022-06-11,page_log,7,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_003.jpg
1535820071188082688,2022-06-12,page_log,8 9,,,,claude,vision_model,high,2026-08-27T12:00:00Z,proposed,,sheet_003.jpg
1536181741542526976,2022-06-13,page_log,10,,,,claude,vision_model,high,2026-08-27T12:30:00Z,proposed,,sheet_004.jpg
1536544533474791424,2022-06-14,page_log,11,,,,claude,vision_model,high,2026-08-27T12:30:00Z,proposed,,sheet_004.jpg
1536906649612750848,2022-06-15,page_log,12 13 14 15,,,,claude,vision_model,high,2026-08-27T12:30:00Z,proposed,four sheets fanned out,sheet_004.jpg
1537269290688122881,2022-06-16,page_log,16,,,,claude,vision_model,high,2026-08-27T12:30:00Z,proposed,,sheet_004.jpg
1537632258311323648,2022-06-17,page_log,17,,,,claude,vision_model,high,2026-08-27T12:30:00Z,proposed,,sheet_004.jpg
