chapter,title_en,arc,page_length,publication_date_jp,wsj_issue_cumulative,wsj_issue_year,wsj_issue_no,is_combined_issue,prev_chapter_pub_date,interval_days,interval_issues,issues_skipped_before,modeling_era,run_id,batch_id,position_in_batch,is_batch_start,batch_size,issues_gap_before_batch,prev_batch_start_date,interval_from_prev_batch_days,na_issue_cumulative,na_issue_no,na_release_date,volume_release_date,release_date_raw,date_provenance,publication_date_jp_raw_value,correction_note,source_url,source_type,source_revid,source_rev_timestamp
1,The Day of Departure,Hunter Exam arc,32,1998-03-02,1487,1998,14,0,,,,,0,1,1,1,1,10,,,,,,,1998-06-04,"March 2<sup>nd</sup>, 1998 (''Weekly Shōnen Jump #1487, No. 14'') <br /> June 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_1,community_wiki_secondary,416129,2025-08-31T20:17:59Z
2,An Encounter in the Storm,Hunter Exam arc,23,1998-03-09,1488,1998,15,0,1998-03-02,7,1,0,0,1,1,2,0,10,,,,,,,1998-06-04,"March 9<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1488, No.15'') <br /> June 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_2,community_wiki_secondary,424750,2026-08-22T08:11:00Z
3,The Ultimate Choice,Hunter Exam arc,19,1998-03-16,1489,1998,16,0,1998-03-09,7,1,0,0,1,1,3,0,10,,,,,,,1998-06-04,"March 16<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1489, No. 16'') <br /> June 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_3,community_wiki_secondary,416131,2025-08-31T20:18:22Z
4,Kiriko: Wicked Magical Vulpes,Hunter Exam arc,21,1998-03-23,1490,1998,17,0,1998-03-16,7,1,0,0,1,1,4,0,10,,,,,,,1998-06-04,"March 23<sup>rd</sup>, 1998 (''Weekly Shōnen Jump #1490, No.17'') <br /> June 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_4,community_wiki_secondary,424656,2026-08-18T12:48:44Z
5,The First Phase Begins: Part 1,Hunter Exam arc,19,1998-03-30,1491,1998,18,0,1998-03-23,7,1,0,0,1,1,5,0,10,,,,,,,1998-06-04,"March 30<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1491, No. 18'') <br /> June 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_5,community_wiki_secondary,416132,2025-08-31T20:18:31Z
6,The First Phase Begins: Part 2,Hunter Exam arc,19,1998-04-06,1492,1998,19,0,1998-03-30,7,1,0,0,1,1,6,0,10,,,,,,,1998-06-04,"April 6<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1492, No.19'') <br /> June 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_6,community_wiki_secondary,328266,2022-11-25T21:56:02Z
7,Respective Reasons,Hunter Exam arc,19,1998-04-13,1493,1998,20,0,1998-04-06,7,1,0,0,1,1,7,0,10,,,,,,,1998-06-04,"April 13<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1493, No.20'') <br /> June 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_7,community_wiki_secondary,416133,2025-08-31T20:18:41Z
8,The Other Enemy,Hunter Exam arc,19,1998-04-20,1494,1998,21,0,1998-04-13,7,1,0,0,1,1,8,0,10,,,,,,,1998-06-04,"April 20<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1494, No.21'')<br />June 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_8,community_wiki_secondary,331410,2022-12-15T07:09:23Z
9,A Struggle in the Mist,Hunter Exam arc,18,1998-04-27,1495,1998,22-23,1,1998-04-20,7,1,0,0,1,1,9,0,10,,,,,,,1998-09-02,"April 27<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1495, No.22-23'') <br /> September 2<sup>nd</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_9,community_wiki_secondary,416134,2025-08-31T20:18:51Z
10,An Unexpected Task,Hunter Exam arc,19,1998-05-11,1496,1998,24,0,1998-04-27,14,1,0,0,1,1,10,0,10,,,,,,,1998-09-02,"May 11<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1496, No.24'')<br />September 2<sup>nd</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_10,community_wiki_secondary,406644,2024-11-01T22:20:21Z
11,The Inevitable Outcome,Hunter Exam arc,19,1998-05-18,1497,1998,25,0,1998-05-11,7,1,0,0,1,2,1,1,10,0,1998-03-02,77,,,,1998-09-02,"May 18<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1497, No. 25'')<br />September 2<sup>nd</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_11,community_wiki_secondary,322492,2022-11-04T05:05:30Z
12,The Chairman Arrives,Hunter Exam arc,19,1998-05-25,1498,1998,26,0,1998-05-18,7,1,0,0,1,2,2,0,10,,1998-03-02,77,,,,1998-09-02,"May 25<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1498, No. 26'') <br /> September 2<sup>nd</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_12,community_wiki_secondary,415985,2025-08-23T03:10:06Z
13,A Game at Midnight: Part 1,Hunter Exam arc,19,1998-06-08,1500,1998,28,0,1998-05-25,14,2,1,0,1,2,3,0,10,,1998-03-02,77,,,,1998-09-02,"June 8<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1500, No. 28'') <br /> September 2<sup>nd</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_13,community_wiki_secondary,416135,2025-08-31T20:19:02Z
14,A Game at Midnight: Part 2,Hunter Exam arc,19,1998-06-15,1501,1998,29,0,1998-06-08,7,1,0,0,1,2,4,0,10,,1998-03-02,77,,,,1998-09-02,"June 15<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1501, No. 29'') <br /> September 2<sup>nd</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_14,community_wiki_secondary,415987,2025-08-23T03:10:15Z
15,The Path of Majority Rules,Hunter Exam arc,19,1998-06-22,1502,1998,30,0,1998-06-15,7,1,0,0,1,2,5,0,10,,1998-03-02,77,,,,1998-09-02,"June 22<sup>nd</sup>, 1998 (''Weekly Shōnen Jump #1502, No. 30'') <br /> September 2<sup>nd</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_15,community_wiki_secondary,415988,2025-08-23T03:10:19Z
16,Enter the Taskmasters,Hunter Exam arc,19,1998-06-29,1503,1998,31,0,1998-06-22,7,1,0,0,1,2,6,0,10,,1998-03-02,77,,,,1998-09-02,"June 29<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1503, No. 31'') <br /> September 2<sup>nd</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_16,community_wiki_secondary,416136,2025-08-31T20:19:12Z
17,Disparate Choice,Hunter Exam arc,19,1998-07-06,1504,1998,32,0,1998-06-29,7,1,0,0,1,2,7,0,10,,1998-03-02,77,,,,1998-09-02,"July 6<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1504, No. 32'') <br /> September 2<sup>nd</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_17,community_wiki_secondary,416137,2025-08-31T20:19:22Z
18,The Two Aces in the Hole,Hunter Exam arc,19,1998-07-13,1505,1998,33,0,1998-07-06,7,1,0,0,1,2,8,0,10,,1998-03-02,77,,,,1998-11-04,"July 13<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1505, No. 33'') <br /> November 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_18,community_wiki_secondary,416138,2025-08-31T20:19:30Z
19,The Trap of Majority Rules,Hunter Exam arc,19,1998-07-18,1506,1998,34,0,1998-07-13,5,1,0,0,1,2,9,0,10,,1998-03-02,77,,,,1998-11-04,"July 18<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1506, No. 34'') <br /> November 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_19,community_wiki_secondary,416139,2025-08-31T20:19:39Z
20,Gambling Time,Hunter Exam arc,19,1998-07-27,1507,1998,35,0,1998-07-18,9,1,0,0,1,2,10,0,10,,1998-03-02,77,,,,1998-11-04,"July 27<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1507, No. 35'') <br /> November 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_20,community_wiki_secondary,416140,2025-08-31T20:19:48Z
21,Resolution,Hunter Exam arc,19,1998-08-03,1508,1998,36,0,1998-07-27,7,1,0,0,1,3,1,1,10,0,1998-05-18,77,,,,1998-11-04,"August 3<sup>rd</sup>, 1998 (''Weekly Shōnen Jump #1508, No. 36'') <br /> November 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_21,community_wiki_secondary,416141,2025-08-31T20:19:56Z
22,The Last Question,Hunter Exam arc,19,1998-08-10,1509,1998,37-38,1,1998-08-03,7,1,0,0,1,3,2,0,10,,1998-05-18,77,,,,1998-11-04,"August 10<sup>th</sup>, 1998 (''Weekly Shōnen Jump #1509, No. 37-38'') <br /> November 4<sup>th</sup>, 1998 (''tankōbon'' format)",hunterpedia,,,https://hunterxhunter.fandom.com/wiki/Chapter_22,community_wiki_secondary,406653,2024-11-01T22:25:30Z
