event_id,event_date,post_created_at,chapter,event_class,stage,status,kind,pages_manuscript,n_pages,chapters_remaining,n_chapters,source_text_ja,extraction_method,confidence,notes,tweet_id,source_url
E00001,2022-05-24,2022-05-24T06:32:04.129000+00:00,,batch_countdown,,,,,,4,,とりあえずあと4話。,text_explicit,high,,1528987173927522304,https://x.com/Un4v5s8bgsVk9Xp/status/1528987173927522304
E00273,2022-05-25,2022-05-25,397,page_completed,,,,,0,,,,image_transcription,high,chapter via reviewer_anchor,1529260655236091904,https://x.com/Un4v5s8bgsVk9Xp/status/1529260655236091904
E00274,2022-05-26,2022-05-26,397,page_completed,,,,7,1,,,,image_transcription,medium,chapter via cycle_anchor,1529663083605397504,https://x.com/Un4v5s8bgsVk9Xp/status/1529663083605397504
E00275,2022-05-27,2022-05-27,397,page_completed,,,,8,1,,,,image_transcription,high,chapter via reviewer_anchor,1530022135413952512,https://x.com/Un4v5s8bgsVk9Xp/status/1530022135413952512
E00276,2022-05-28,2022-05-28,397,page_completed,,,,9,1,,,,image_transcription,high,chapter via reviewer_anchor,1530401076385525761,https://x.com/Un4v5s8bgsVk9Xp/status/1530401076385525761
E00277,2022-05-29,2022-05-29,397,page_completed,,,,10,1,,,,image_transcription,high,chapter via reviewer_anchor,1530748357731225600,https://x.com/Un4v5s8bgsVk9Xp/status/1530748357731225600
E00278,2022-05-30,2022-05-30,397,page_completed,,,,11,1,,,,image_transcription,high,chapter via reviewer_anchor,1531112345321078784,https://x.com/Un4v5s8bgsVk9Xp/status/1531112345321078784
E00279,2022-05-31,2022-05-31,397,page_completed,,,,12,1,,,,image_transcription,high,chapter via reviewer_anchor,1531471347540295680,https://x.com/Un4v5s8bgsVk9Xp/status/1531471347540295680
E00280,2022-06-01,2022-06-01,397,page_completed,,,,13,1,,,,image_transcription,high,chapter via reviewer_anchor,1531834543920951296,https://x.com/Un4v5s8bgsVk9Xp/status/1531834543920951296
E00281,2022-06-02,2022-06-02,397,page_completed,,,,14,1,,,,image_transcription,high,chapter via reviewer_anchor,1532195450983313408,https://x.com/Un4v5s8bgsVk9Xp/status/1532195450983313408
E00282,2022-06-03,2022-06-03,397,page_completed,,,,15 16,2,,,,image_transcription,high,chapter via reviewer_anchor,1532558267385188352,https://x.com/Un4v5s8bgsVk9Xp/status/1532558267385188352
E00283,2022-06-04,2022-06-04,397,page_completed,,,,17 18,2,,,,image_transcription,high,chapter via reviewer_anchor,1532920523406995456,https://x.com/Un4v5s8bgsVk9Xp/status/1532920523406995456
E00284,2022-06-05,2022-06-05,397,page_completed,,,,19,1,,,,image_transcription,high,chapter via reviewer_anchor,1533283644227260416,https://x.com/Un4v5s8bgsVk9Xp/status/1533283644227260416
E00002,2022-06-06,2022-06-06T03:06:13.437000+00:00,,batch_countdown,,,,,,3,,とりあえず、あと3話。,text_explicit,high,,1533646413623529474,https://x.com/Un4v5s8bgsVk9Xp/status/1533646413623529474
E00285,2022-06-07,2022-06-07,398,page_completed,,,,2,1,,,,image_transcription,high,chapter via reviewer_anchor,1534007690053099520,https://x.com/Un4v5s8bgsVk9Xp/status/1534007690053099520
E00286,2022-06-08,2022-06-08,398,page_completed,,,,3 4,2,,,,image_transcription,medium,chapter via cycle_anchor,1534370156809310210,https://x.com/Un4v5s8bgsVk9Xp/status/1534370156809310210
E00287,2022-06-09,2022-06-09,398,page_completed,,,,5,1,,,,image_transcription,high,chapter via reviewer_anchor,1534732400604745733,https://x.com/Un4v5s8bgsVk9Xp/status/1534732400604745733
E00288,2022-06-10,2022-06-10,398,page_completed,,,,6,1,,,,image_transcription,medium,chapter via cycle_anchor,1535094793100857345,https://x.com/Un4v5s8bgsVk9Xp/status/1535094793100857345
E00289,2022-06-11,2022-06-11,398,page_completed,,,,7,1,,,,image_transcription,high,chapter via reviewer_anchor,1535457193008320513,https://x.com/Un4v5s8bgsVk9Xp/status/1535457193008320513
E00290,2022-06-12,2022-06-12,398,page_completed,,,,8 9,2,,,,image_transcription,high,chapter via reviewer_anchor,1535820071188082688,https://x.com/Un4v5s8bgsVk9Xp/status/1535820071188082688
E00291,2022-06-13,2022-06-13,398,page_completed,,,,10,1,,,,image_transcription,medium,chapter via cycle_anchor,1536181741542526976,https://x.com/Un4v5s8bgsVk9Xp/status/1536181741542526976
E00292,2022-06-14,2022-06-14,398,page_completed,,,,11,1,,,,image_transcription,high,chapter via reviewer_anchor,1536544533474791424,https://x.com/Un4v5s8bgsVk9Xp/status/1536544533474791424
E00293,2022-06-15,2022-06-15,398,page_completed,,,,12 13 14 15,4,,,,image_transcription,medium,chapter via cycle_anchor,1536906649612750848,https://x.com/Un4v5s8bgsVk9Xp/status/1536906649612750848
