tweet_id,date,chapter,pages_manuscript,n_pages,cycle_id,chapter_source,image_type,milestone_text,reviewer_note
1529260655236091904,2022-05-25,397,,0,1,reviewer_anchor,page_log,,Ch 397 p. 6 artwork
1529663083605397504,2022-05-26,397,7,1,1,cycle_anchor,page_log,,
1530022135413952512,2022-05-27,397,8,1,1,reviewer_anchor,page_log,,Ch 397 p. 8 sketch
1530401076385525761,2022-05-28,397,9,1,1,reviewer_anchor,page_log,,Ch 397 p. 9 sketch
1530748357731225600,2022-05-29,397,10,1,1,reviewer_anchor,page_log,,Ch 397 p. 10 sketch
1531112345321078784,2022-05-30,397,11,1,1,reviewer_anchor,page_log,,Ch 397 p. 11 sketch
1531471347540295680,2022-05-31,397,12,1,1,reviewer_anchor,page_log,,Ch 397 p. 12 sketch
1531834543920951296,2022-06-01,397,13,1,1,reviewer_anchor,page_log,,Ch 397 p. 13 sketch
1532195450983313408,2022-06-02,397,14,1,1,reviewer_anchor,page_log,,Ch 397 p. 14 sketch
1532558267385188352,2022-06-03,397,15 16,2,1,reviewer_anchor,page_log,,Ch 397 p. 15 16 sketch
1532920523406995456,2022-06-04,397,17 18,2,1,reviewer_anchor,page_log,,Ch 397 p. 17 18 sketch
1533283644227260416,2022-06-05,397,19,1,1,reviewer_anchor,page_log,,Ch 397 p. 19 sketch
1534007690053099520,2022-06-07,398,2,1,2,reviewer_anchor,page_log,,Ch 398 p. 2 sketch
1534370156809310210,2022-06-08,398,3 4,2,2,cycle_anchor,page_log,,
1534732400604745733,2022-06-09,398,5,1,2,reviewer_anchor,page_log,,Ch 398 p. 5 sketch
1535094793100857345,2022-06-10,398,6,1,2,cycle_anchor,page_log,,
1535457193008320513,2022-06-11,398,7,1,2,reviewer_anchor,page_log,,Ch 398 p. 7 sketch
1535820071188082688,2022-06-12,398,8 9,2,2,reviewer_anchor,page_log,,Ch 398 p. 9 sketch
1536181741542526976,2022-06-13,398,10,1,2,cycle_anchor,page_log,,
1536544533474791424,2022-06-14,398,11,1,2,reviewer_anchor,page_log,,Ch 398 p. 11 sketch
1536906649612750848,2022-06-15,398,12 13 14 15,4,2,cycle_anchor,page_log,,
1537269290688122881,2022-06-16,398,16,1,2,cycle_anchor,page_log,,
1537632258311323648,2022-06-17,398,17,1,2,reviewer_anchor,page_log,,Ch 398 p. 17 sketch
1537993636297658369,2022-06-18,398,18 19,2,2,cycle_anchor,page_log,,
1538794911759077378,2022-06-20,399,3,1,3,cycle_anchor,page_log,,
1539081629632630784,2022-06-21,399,4,1,3,cycle_anchor,page_log,,
1539443851487694848,2022-06-22,399,5,1,3,cycle_anchor,page_log,,"Page number is 5, visible but in a special font"
1539806147745484800,2022-06-23,399,6,1,3,cycle_anchor,page_log,,
1540177798618263552,2022-06-24,399,7,1,3,cycle_anchor,page_log,,
1540530537512611841,2022-06-25,399,8,1,3,cycle_anchor,page_log,,
1540895966798028801,2022-06-26,399,9,1,3,reviewer_anchor,page_log,,Ch 399 p.9 sketch
1541255538029125633,2022-06-27,399,10,1,3,reviewer_anchor,page_log,,Ch 399 p.10 sketch
1541676030489833472,2022-06-28,399,11,1,3,reviewer_anchor,page_log,,Ch 399 p.11 sketch
1541980381552922624,2022-06-29,399,12,1,3,reviewer_anchor,page_log,,Ch 399 p.12 sketch
1542343325021196291,2022-06-30,399,13,1,3,reviewer_anchor,page_log,,Ch 399 p.13 sketch
1542705613519523840,2022-07-01,399,14,1,3,reviewer_anchor,page_log,,Ch 399 p.14 sketch
1543068288862760960,2022-07-02,399,15,1,3,reviewer_anchor,page_log,,Ch 399 p.15 sketch
1543431031293767680,2022-07-03,399,16,1,3,reviewer_anchor,page_log,,Ch 399 p.16 sketch
1543792686947110912,2022-07-04,399,17,1,3,reviewer_anchor,page_log,,Ch 399 p.17 sketch
1544155535347290113,2022-07-05,399,18,1,3,reviewer_anchor,page_log,,Ch 399 p.18 sketch
1544517962953920513,2022-07-06,399,19,1,3,reviewer_anchor,page_log,,Ch 399 p.19 sketch
1545242707840225281,2022-07-08,400,2,1,4,reviewer_anchor,page_log,,Ch 400 p. 2 sketch
1545606271935533059,2022-07-09,400,3,1,4,reviewer_anchor,page_log,,Ch 400 p. 3 sketch
1545966491199188993,2022-07-10,400,4,1,4,reviewer_anchor,page_log,,Ch 400 p. 4 sketch
1546329266433826816,2022-07-11,400,5,1,4,reviewer_anchor,page_log,,Ch 400 p. 5 sketch
1546691419129098245,2022-07-12,400,6,1,4,reviewer_anchor,page_log,,Ch 400 p. 6 sketch
1547054032136863744,2022-07-13,400,7,1,4,cycle_anchor,page_log,,
1547423498426978304,2022-07-14,400,8,1,4,reviewer_anchor,page_log,,Ch 400 p. 8 sketch
1547778808207380485,2022-07-15,400,9,1,4,cycle_anchor,page_log,,
1548141221406642177,2022-07-16,400,10,1,4,reviewer_anchor,page_log,,Ch 400 p. 10 sketch
1548503498697760768,2022-07-17,400,11,1,4,cycle_anchor,page_log,,
1548865803268734976,2022-07-18,400,12,1,4,reviewer_anchor,page_log,,Ch 400 p. 12 sketch
1549228293349466112,2022-07-19,400,13,1,4,reviewer_anchor,page_log,,Ch 400 p. 13 sketch
1549591364169437184,2022-07-20,400,14,1,4,reviewer_anchor,page_log,,Ch 400 p. 14 sketch
1549952765966725120,2022-07-21,400,15,1,4,reviewer_anchor,page_log,,Ch 400 p. 15 sketch
1550315226242764802,2022-07-22,400,16,1,4,reviewer_anchor,page_log,,Ch 400 p. 16 sketch
1550677625844027392,2022-07-23,400,17,1,4,reviewer_anchor,page_log,,Ch 400 p. 17 sketch
1551045024028143616,2022-07-24,400,18,1,4,cycle_anchor,page_log,,
1551402850256707586,2022-07-25,400,19,1,4,reviewer_anchor,page_log,,Ch 400 p. 19 sketch Kurapika
1553257639051546625,2022-07-30,401,5,1,5,cycle_anchor,page_log,,
1553943032554106882,2022-08-01,401,8,1,5,reviewer_anchor,page_log,,Ch 401 p. 8 sketch
1554301262388084736,2022-08-02,401,9,1,5,reviewer_anchor,page_log,,Ch 401 p. 9 sketch
1555389385784274946,2022-08-05,401,12,1,5,reviewer_anchor,page_log,,Ch 401 p. 12 sketch
1555751795451777026,2022-08-06,401,13,1,5,reviewer_anchor,page_log,,Ch 401 p. 13 sketch
1556114159313379328,2022-08-07,401,14,1,5,cycle_anchor,page_log,,
1556478800333905920,2022-08-08,401,15,1,5,cycle_anchor,page_log,,
1556839262779088896,2022-08-09,401,16,1,5,cycle_anchor,page_log,,
1557202514189045760,2022-08-10,401,17,1,5,cycle_anchor,page_log,,
1557572968888164352,2022-08-11,401,18,1,5,cycle_anchor,page_log,,
1565901913752686592,2022-09-03,402,3,1,6,reviewer_anchor,page_log,,Ch 402 p. 3 sketch
1566280525488148480,2022-09-04,402,4,1,6,reviewer_anchor,page_log,,Ch 402 p. 4 sketch
1568203247898460161,2022-09-09,402,9,1,6,cycle_anchor,page_log,,
1568856569747755009,2022-09-11,402,11,1,6,cycle_anchor,page_log,,
1569235741808664576,2022-09-12,402,12,1,6,cycle_anchor,page_log,,
1571060822352494592,2022-09-17,402,17,1,6,cycle_anchor,page_log,,Page number is 17
1571408244450684931,2022-09-18,402,18,1,6,reviewer_anchor,page_log,,Ch 402 p. 18 sketch
1571722358100234240,2022-09-19,402,19,1,6,cycle_anchor,page_log,,
1572428421187371008,2022-09-21,403,2,1,7,cycle_anchor,page_log,,
1572812396757852160,2022-09-22,403,3,1,7,cycle_anchor,page_log,,
1573236757432336384,2022-09-23,403,4,1,7,reviewer_anchor,page_log,,Ch 403 p. 4 sketch
1573549188888993792,2022-09-24,403,5,1,7,reviewer_anchor,page_log,,Ch 403 p. 5 sketch
1574001223505567744,2022-09-25,403,6,1,7,cycle_anchor,page_log,,
1574326539394592768,2022-09-26,403,7,1,7,reviewer_anchor,page_log,,Ch 403 p. 7 sketch
1575098686904111104,2022-09-28,403,8 9,2,7,cycle_anchor,page_log,,
1576177741103124481,2022-10-01,403,10 11 12 13,4,7,cycle_anchor,page_log,,
1579463294104240129,2022-10-10,404,3 4 5 6,4,8,reviewer_anchor,page_log,,Ch 404 p. 6 sketch
1580904454253002753,2022-10-14,404,10,1,8,reviewer_anchor,page_log,,Ch 404 p. 10 sketch
1581202157696475136,2022-10-15,404,11,1,8,cycle_anchor,page_log,,
1785895428573319488,2024-05-02,405,6 7,2,9,reviewer_anchor,page_log,,Ch 405 p. 7 sketch
1786271534228951329,2024-05-03,405,8 9,2,9,reviewer_anchor,page_log,,Ch 405 p. 8 sketch
1786653489306972278,2024-05-04,405,10 11,2,9,reviewer_anchor,page_log,,Ch 405 p. 11 sketch
1786998395732988294,2024-05-05,405,12 13 14,3,9,reviewer_anchor,page_log,,Ch 405 p. 14 sketch
1787384568330301456,2024-05-06,405,15 16 17,3,9,reviewer_anchor,page_log,,Ch 405 p. 16 sketch
1788466465072640148,2024-05-09,406,4 5 6,3,10,reviewer_anchor,page_log,,Ch 406 p. 4 sketch
1788817836695331294,2024-05-10,406,7 8 9,3,10,reviewer_anchor,page_log,,Ch 406 p. 9 sketch
1789536557353087288,2024-05-12,406,13 14 15,3,10,reviewer_anchor,page_log,,Ch 406 p. 14 sketch
1790651329960087686,2024-05-15,407,4 5 7,3,11,cycle_anchor,page_log,,
1790999903046599157,2024-05-16,407,8 9 10,3,11,reviewer_anchor,page_log,,Ch 407 p. 7 matches p. 8 sketch
1791354446531695090,2024-05-17,407,11 12 13,3,11,reviewer_anchor,page_log,,Ch 407 p. 10 & 11 matches p. 11 & 12 sketch
1792827789370110105,2024-05-21,408,4 6,2,12,cycle_anchor,page_log,,
1793190105412153752,2024-05-22,408,7 8 9,3,12,reviewer_anchor,page_log,,Ch 408 p. 7 sketch
1793552523011469780,2024-05-23,408,10 11 12,3,12,reviewer_anchor,page_log,,Ch 408 p. 12 sketch
1793914960952861172,2024-05-24,408,13 14 15,3,12,reviewer_anchor,page_log,,Ch 408 p. 13 sketch
1794277256837374185,2024-05-25,408,16 17 18,3,12,cycle_anchor,page_log,,
1795364445029597344,2024-05-28,409,6 7 8,3,13,reviewer_anchor,page_log,,Ch 409 p. 6 & 7 sketch
1795726834904289495,2024-05-29,409,9 10 11,3,13,cycle_anchor,page_log,,
1796089191438447033,2024-05-30,409,12 13 14,3,13,reviewer_anchor,page_log,,Ch 409 p. 12 sketch
1796452021056545038,2024-05-31,409,15 16 17,3,13,reviewer_anchor,page_log,,Ch 409 p. 15 & 16 sketch
1797197820585497053,2024-06-02,410,2 3 4,3,14,reviewer_anchor,page_log,,Ch 410 p. 4 sketch
1797538778439090611,2024-06-03,410,5 6 7,3,14,reviewer_anchor,page_log,,Ch 410 p. 6 sketch; Killua sketch showing “p. 5” is just for numbering the page not actually appears on the published version
1797901236098023911,2024-06-04,410,8 9 10,3,14,reviewer_anchor,page_log,,Ch 410 p. 8 sketch
1798263559031501158,2024-06-05,410,11 12 13,3,14,cycle_anchor,page_log,,
1798626376557498622,2024-06-06,410,14 15 16,3,14,cycle_anchor,page_log,,
1798988560256864617,2024-06-07,410,17 18 19,3,14,cycle_anchor,page_log,,
1799350843986350568,2024-06-08,411,1 2 3,3,15,reviewer_anchor,page_log,,Ch 411 p. 1 sketch
1799770247752503341,2024-06-09,411,4 5 6,3,15,reviewer_anchor,page_log,,Ch 411 p. 5 sketch
1800075528600428979,2024-06-10,411,7 8 9,3,15,reviewer_anchor,page_log,,Ch 411 p. 8 & 9 sketch
1800800295573971089,2024-06-12,411,13 14 15,3,15,reviewer_anchor,page_log,,Ch 411 p. 14 sketch
