seq,issue_year,issue_label,issue_no_first,issue_no_last,is_combined,cover_date,on_sale_date,on_sale_provenance,days_to_next_issue,hxh_chapter,hxh_issue_cumulative
0,1997,1号,1,1,0,1997-01-01,1996-12-18,inferred_cover_minus_14d,7,,
1,1997,2号,2,2,0,1997-01-08,1996-12-25,inferred_cover_minus_14d,2,,
2,1997,3・4号,3,4,1,1997-01-10,1996-12-27,inferred_cover_minus_14d,6,,
3,1997,5・6号,5,6,1,1997-01-16,1997-01-02,inferred_cover_minus_14d,13,,
4,1997,7号,7,7,0,1997-01-29,1997-01-15,inferred_cover_minus_14d,5,,
5,1997,8号,8,8,0,1997-02-03,1997-01-20,inferred_cover_minus_14d,7,,
6,1997,9号,9,9,0,1997-02-10,1997-01-27,inferred_cover_minus_14d,7,,
7,1997,10号,10,10,0,1997-02-17,1997-02-03,inferred_cover_minus_14d,7,,
8,1997,11号,11,11,0,1997-02-24,1997-02-10,inferred_cover_minus_14d,7,,
9,1997,12号,12,12,0,1997-03-03,1997-02-17,inferred_cover_minus_14d,7,,
10,1997,13号,13,13,0,1997-03-10,1997-02-24,inferred_cover_minus_14d,7,,
11,1997,14号,14,14,0,1997-03-17,1997-03-03,inferred_cover_minus_14d,7,,
12,1997,15号,15,15,0,1997-03-24,1997-03-10,inferred_cover_minus_14d,7,,
13,1997,16号,16,16,0,1997-03-31,1997-03-17,inferred_cover_minus_14d,7,,
14,1997,17号,17,17,0,1997-04-07,1997-03-24,inferred_cover_minus_14d,7,,
15,1997,18号,18,18,0,1997-04-14,1997-03-31,inferred_cover_minus_14d,7,,
16,1997,19号,19,19,0,1997-04-21,1997-04-07,inferred_cover_minus_14d,7,,
17,1997,20号,20,20,0,1997-04-28,1997-04-14,inferred_cover_minus_14d,7,,
18,1997,21号,21,21,0,1997-05-05,1997-04-21,inferred_cover_minus_14d,7,,
19,1997,22・23号,22,23,1,1997-05-12,1997-04-28,inferred_cover_minus_14d,14,,
